AvgSpotLen	BioSample	Experiment	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	cell_type	culture_condition	source_name	strain	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Platform	SRA_Study
50	SAMN01999522	SRX261045	2015-11-15	8213	5533	Saccharomyces cerevisiae	2015-07-22	SRR815612	SRS408520	GSM1115749		in vivo	in vivo	BY4741	RNA-Seq	PRJNA196404	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	SRP020556
50	SAMN01999523	SRX261046	2015-11-15	2785	1971	Saccharomyces cerevisiae	2015-07-22	SRR815613	SRS408521	GSM1115750		in vivo	in vivo	BY4741	RNA-Seq	PRJNA196404	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	SRP020556
50	SAMN01999524	SRX261047	2015-11-15	10055	6948	Saccharomyces cerevisiae	2015-07-22	SRR815614	SRS408522	GSM1115751		in vivo	in vivo	BY4741	RNA-Seq	PRJNA196404	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	SRP020556
50	SAMN01999525	SRX261048	2015-11-15	8537	5847	Saccharomyces cerevisiae	2015-07-22	SRR815615	SRS408523	GSM1115752		in vivo	in vivo	BY4741	RNA-Seq	PRJNA196404	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	SRP020556
50	SAMN01999525	SRX261048	2015-11-15	5023	3469	Saccharomyces cerevisiae	2015-07-22	SRR815616	SRS408523	GSM1115752		in vivo	in vivo	BY4741	RNA-Seq	PRJNA196404	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	SRP020556
50	SAMN01999526	SRX261049	2015-11-15	6327	4184	Saccharomyces cerevisiae	2015-07-22	SRR815617	SRS408524	GSM1115753		Denatured_95C	Denatured_95C	BY4741	RNA-Seq	PRJNA196404	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	SRP020556
50	SAMN01999527	SRX261050	2015-11-14	1379	1011	Saccharomyces cerevisiae	2015-07-22	SRR815618	SRS408525	GSM1115754		Denatured_95C	Denatured_95C	BY4741	RNA-Seq	PRJNA196404	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	SRP020556
50	SAMN01999528	SRX261051	2015-11-15	6505	4203	Saccharomyces cerevisiae	2015-07-22	SRR815619	SRS408526	GSM1115755		Denatured_95C	Denatured_95C	BY4741	RNA-Seq	PRJNA196404	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	SRP020556
50	SAMN01999528	SRX261051	2015-11-15	7869	5215	Saccharomyces cerevisiae	2015-07-22	SRR815620	SRS408526	GSM1115755		Denatured_95C	Denatured_95C	BY4741	RNA-Seq	PRJNA196404	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	SRP020556
50	SAMN01999528	SRX261051	2015-11-14	2187	1493	Saccharomyces cerevisiae	2015-07-22	SRR815621	SRS408526	GSM1115755		Denatured_95C	Denatured_95C	BY4741	RNA-Seq	PRJNA196404	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	SRP020556
