AvgSpotLen	BioSample	Experiment	Instrument	LibraryLayout	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	biomaterial_provider	cell_line	sample_type	source_name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study
202	SAMN02350643	SRX346855	Illumina HiSeq 2000	PAIRED	2014-08-18	40287	26616	SRR972706	SRS477789	GSM1226157	Coriell; http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&amp;q=GM12878	GM12878	polyA RNA	polyA RNA S1 nuclease at 37°C	RNA-Seq	PRJNA218468	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-12-20	SRP029656
202	SAMN02350644	SRX346856	Illumina HiSeq 2000	PAIRED	2014-08-18	42102	28095	SRR972707	SRS477788	GSM1226158	Coriell; http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&amp;q=GM12878	GM12878	polyA RNA	polyA RNA Rnase V1 at 37°C	RNA-Seq	PRJNA218468	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-12-20	SRP029656
202	SAMN02350639	SRX346857	Illumina HiSeq 2000	PAIRED	2014-08-18	35743	22700	SRR972708	SRS477791	GSM1226159	Coriell; http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&amp;q=GM12891	GM12891	polyA RNA	polyA RNA S1 nuclease at 37°C	RNA-Seq	PRJNA218468	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-12-20	SRP029656
202	SAMN02350642	SRX346858	Illumina HiSeq 2000	PAIRED	2014-08-18	40558	26399	SRR972709	SRS477790	GSM1226160	Coriell; http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&amp;q=GM12891	GM12891	polyA RNA	polyA RNA Rnase V1 at 37°C	RNA-Seq	PRJNA218468	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-12-20	SRP029656
200	SAMN02350640	SRX346859	Illumina HiSeq 2000	PAIRED	2014-08-18	42418	28991	SRR972710	SRS477792	GSM1226161	Coriell; http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&amp;q=GM12892	GM12892	polyA RNA	polyA RNA S1 nuclease at 37°C	RNA-Seq	PRJNA218468	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-12-20	SRP029656
202	SAMN02350641	SRX346860	Illumina HiSeq 2000	PAIRED	2014-08-18	43377	29175	SRR972711	SRS477793	GSM1226162	Coriell; http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&amp;q=GM12892	GM12892	polyA RNA	polyA RNA Rnase V1 at 37°C	RNA-Seq	PRJNA218468	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-12-20	SRP029656
202	SAMN02350646	SRX346861	Illumina HiSeq 2000	PAIRED	2014-08-18	31014	20838	SRR972712	SRS477795	GSM1226163	Coriell; http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&amp;q=GM12878	GM12878	rRNA depleted	rRNA depleted RNA S1 nuclease at 37°C	RNA-Seq	PRJNA218468	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-12-20	SRP029656
202	SAMN02350645	SRX346862	Illumina HiSeq 2000	PAIRED	2014-08-18	36564	23670	SRR972713	SRS477794	GSM1226164	Coriell; http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&amp;q=GM12878	GM12878	rRNA depleted	rRNA depleted RNA Rnase V1 at 37°C	RNA-Seq	PRJNA218468	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-12-20	SRP029656
202	SAMN02350647	SRX346863	Illumina HiSeq 2000	PAIRED	2014-08-18	30147	19929	SRR972714	SRS477796	GSM1226165	Coriell; http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&amp;q=GM12878	GM12878	rRNA depleted	rRNA depleted RNA S1 nuclease at 37°C	RNA-Seq	PRJNA218468	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-12-20	SRP029656
202	SAMN02350650	SRX346864	Illumina HiSeq 2000	PAIRED	2014-08-18	35638	24278	SRR972715	SRS477797	GSM1226166	Coriell; http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&amp;q=GM12878	GM12878	rRNA depleted	rRNA depleted RNA Rnase V1 at 37°C	RNA-Seq	PRJNA218468	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-12-20	SRP029656
