AvgSpotLen	BioSample	Experiment	Instrument	LibraryLayout	LoadDate	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	molecule_subtype	source_name	strain	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibrarySelection	LibrarySource	Platform	ReleaseDate	SRA_Study
50	SAMN05414718	SRX1959208	Illumina HiSeq 4000	SINGLE	2016-07-18	4547	1790	Homo sapiens	SRR3929619	SRS1569395	GSM2241643	mRNA	HEK 293T cells		RNA-Seq	PRJNA329551	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-09-16	SRP078863
50	SAMN05414718	SRX1959208	Illumina HiSeq 4000	SINGLE	2016-07-18	14750	5116	Homo sapiens	SRR3929620	SRS1569395	GSM2241643	mRNA	HEK 293T cells		RNA-Seq	PRJNA329551	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-09-16	SRP078863
50	SAMN05414719	SRX1959209	Illumina HiSeq 4000	SINGLE	2016-07-18	3528	1308	Saccharomyces cerevisiae	SRR3929621	SRS1569396	GSM2241644	mRNA	BY4741 cells	BY4741	RNA-Seq	PRJNA329551	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-09-16	SRP078863
50	SAMN05414720	SRX1959210	Illumina HiSeq 4000	SINGLE	2016-07-18	2514	943	Saccharomyces cerevisiae	SRR3929622	SRS1569397	GSM2241645	mRNA	BY4741 cells	BY4741	RNA-Seq	PRJNA329551	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-09-16	SRP078863
50	SAMN05414721	SRX1959211	Illumina HiSeq 4000	SINGLE	2016-07-18	13238	4809	Saccharomyces cerevisiae	SRR3929623	SRS1569398	GSM2241646	mRNA	BY4741 cells	BY4741	RNA-Seq	PRJNA329551	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-09-16	SRP078863
50	SAMN05414722	SRX1959212	Illumina HiSeq 4000	SINGLE	2016-07-18	5592	2177	Saccharomyces cerevisiae	SRR3929624	SRS1569399	GSM2241647	mRNA	BY4741 cells	BY4741	RNA-Seq	PRJNA329551	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-09-16	SRP078863
50	SAMN05414723	SRX1959213	Illumina HiSeq 4000	SINGLE	2016-07-18	2377	899	Saccharomyces cerevisiae	SRR3929625	SRS1569400	GSM2241648	mRNA	BY4741 cells	BY4741	RNA-Seq	PRJNA329551	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-09-16	SRP078863
49	SAMN05414724	SRX1959214	Illumina HiSeq 4000	SINGLE	2016-07-18	6662	2686	Saccharomyces cerevisiae	SRR3929626	SRS1569401	GSM2241649	mRNA	BY4741 cells	BY4741	RNA-Seq	PRJNA329551	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-09-16	SRP078863
50	SAMN05414725	SRX1959215	Illumina HiSeq 4000	SINGLE	2016-07-18	6387	2486	Saccharomyces cerevisiae	SRR3929627	SRS1569402	GSM2241650	mRNA	BY4741 cells	BY4741	RNA-Seq	PRJNA329551	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-09-16	SRP078863
51	SAMN05414715	SRX1959216	Illumina HiSeq 4000	SINGLE	2016-07-18	344	234	Saccharomyces cerevisiae	SRR3929628	SRS1569403	GSM2241651	rRNA	BY4741 cells	BY4741	RNA-Seq	PRJNA329551	GEO	public	sra	ncbi	0	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-09-16	SRP078863
