name,cross_validation_pearson_corr,test_set_pearson_corr
BHLHE40/Mus_musculus|M00251_1.94d|Badis09|Bhlhb2_1274.3=v2,0.6733768496387141,0.7693691512372018
BHLHE40/Mus_musculus|M00252_1.94d|Zoo_01|2878,0.8072304278861641,0.8646336364852723
BHLHE40/Mus_musculus|M00253_1.94d|Zoo_01|1308,0.726237479532695,0.7728425402132301
CEBPB/Mus_musculus|M00401_1.94d|Zoo_01|1586,0.6744485368600368,0.7715054676808546
CEBPB/Mus_musculus|M00406_1.94d|Zoo_01|2537,0.6683150780518206,0.7428247655458493
CEBPB/Mus_musculus|M00415_1.94d|DREAM_contest|1408,0.8224709704590363,0.870081399745147
CEBPB/Mus_musculus|M00416_1.94d|Zoo_01|1598,0.7345762699289365,0.8165639795239468
CREB1/Mus_musculus|M00388_1.94d|Zoo_01|2502,0.5659349591275132,0.6561322395893829
CREB1/Mus_musculus|M00392_1.94d|Zoo_01|1581,0.5855757637865898,0.6431309376589018
CREB1/Mus_musculus|M00420_1.94d|Zoo_01|1307,0.7866736861596977,0.8358415314677916
EGR1/Caenorhabditis_elegans|M00701_1.94d|CEPD|7901,0.6268711418204684,0.7306494701012548
EGR1/Homo_sapiens|NA|Unpublished|EGR1,0.7787415376981913,0.8473616135132125
EGR1/Mus_musculus|M00609_1.94d|DREAM_contest|1440,0.6893242968899518,0.7833541651963055
EGR1/Mus_musculus|M00611_1.94d|DREAM_contest|667,0.7841871461123013,0.8289384299636958
EGR1/Mus_musculus|M00613_1.94d|Zoo_01|951,0.8019963929094822,0.8648782699101628
EGR1/Mus_musculus|M00614_1.94d|Berger06|Zif268,0.15681279221554592,0.2541807596400704
ELF1/Mus_musculus|M00995_1.94d|Wei10|Elf4,0.6474923453131162,0.7285957597848066
ELF1/Mus_musculus|M00997_1.94d|Wei10|Elf2,0.7524176496341018,0.8153238177380749
ELK1/Homo_sapiens|NA|Shen2018|ELK1,0.6056911151333259,0.6874272140442743
ELK1/Mus_musculus|M00978_1.94d|Wei10|Etv1,0.7698557038951215,0.8561146519488227
ELK1/Mus_musculus|M00979_1.94d|Wei10|Gm5454,0.764228398609251,0.8442190640033043
ELK1/Mus_musculus|M00981_1.94d|Wei10|Elk3,0.9284413032812832,0.957914849655884
ELK1/Mus_musculus|M00984_1.94d|Wei10|Elk1,0.8700761388499564,0.9128828172923354
ETS1/Homo_sapiens|NA|Shen2018|ETS1,0.7450715566434291,0.8080459448450503
ETS1/Mus_musculus|M00978_1.94d|Wei10|Etv1,0.7905504181091478,0.8655121981124029
ETS1/Mus_musculus|M00979_1.94d|Wei10|Gm5454,0.7627444955698905,0.8453797521351566
ETS1/Mus_musculus|M00982_1.94d|Badis09|Gabpa_2829.2=v2,0.7397922540444679,0.8076644100395941
ETS1/Mus_musculus|M00984_1.94d|Wei10|Elk1,0.8654610852630769,0.9087549203363908
ETS1/Mus_musculus|M00996_1.94d|Wei10|Ets1,0.7001525786347281,0.7722264561236041
FOXA1/Mus_musculus|M01035_1.94d|Badis09|Foxa2_2830.2=v1,0.8503664381550556,0.8913460727493241
GABPA/Mus_musculus|M00978_1.94d|Wei10|Etv1,0.7718970670443318,0.8539503083629474
GABPA/Mus_musculus|M00979_1.94d|Wei10|Gm5454,0.7899233741638803,0.8520895751770245
GABPA/Mus_musculus|M00982_1.94d|Badis09|Gabpa_2829.2=v2,0.7386344919545316,0.8199156105858131
GABPA/Mus_musculus|M00983_1.94d|Wei10|Gabpa,0.6953200646636546,0.7851893658404814
GABPA/Mus_musculus|M00984_1.94d|Wei10|Elk1,0.8658655198843083,0.9101129979648164
GABPA/Mus_musculus|M00996_1.94d|Wei10|Ets1,0.6792996993677309,0.7707758890465018
GATA1/Homo_sapiens|NA|Unpublished|GATA1,0.9459399783360276,0.9660937728924668
GATA1/Mus_musculus|M01105_1.94d|Badis09|Gata3_1024.3=v1,0.9184861830149822,0.9378177411047178
GATA1/Mus_musculus|M01106_1.94d|Badis09|Gata5_3768.1=v1,0.8160858176223036,0.8600921153694997
GATA1/Mus_musculus|M01107_1.94d|DREAM_contest|572,0.6841682362103059,0.7628647989054477
GATA3/Homo_sapiens|NA|Unpublished|GATA1,0.9448763483746692,0.9658343172468538
GATA3/Mus_musculus|M01105_1.94d|Badis09|Gata3_1024.3=v1,0.9097281430784722,0.9375772848239846
GATA3/Mus_musculus|M01106_1.94d|Badis09|Gata5_3768.1=v1,0.823826425347093,0.8732364483028499
GATA3/Mus_musculus|M01107_1.94d|DREAM_contest|572,0.6440669911702768,0.7717984356952291
IRF4/Mus_musculus|M01731_1.94d|Badis09|Irf4_3476.1=v2,0.8563373928042707,0.8997326979133995
MAFK/Mus_musculus|M00383_1.94d|Badis09|Mafk_3106.2=v2,0.7978064533364689,0.8561351449018358
MAFK/Mus_musculus|M00405_1.94d|Zoo_01|205,0.5947920691257871,0.6888549715490008
MAX/Homo_sapiens|NA|Shen2018|MAX,0.9217498281662808,0.9467782131841392
MAX/Mus_musculus|M00269_1.94d|Badis09|Max_3863.1=v2,0.8433760983976284,0.8958773246941496
MAX/Mus_musculus|M00270_1.94d|Badis09|Max_3864.1=v2,0.585793993562436,0.7035006122404043
MAX/Mus_musculus|M00271_1.94d|Zoo_01|855,0.6788313220392656,0.7845296268645645
PAX5/Caenorhabditis_elegans|M02066_1.94d|CEPD|10189,0.35527669350231605,0.5039239857145498
PAX5/Danio_rerio|M02061_1.94d|Zoo_01|5899,0.665569822460321,0.7889925650201718
PAX5/Xenopus_tropicalis|M02063_1.94d|Zoo_01|5729,0.2996820318650876,0.4035568213660911
PBX3/Homo_sapiens|M01230_1.94d|Barrera2016|PBX4_REF_R2,0.6860728030265918,0.6528727786745914
POU2F2/Danio_rerio|M01676_1.94d|Zoo_01|6777,0.9145637777031982,0.9475464778042268
POU2F2/Mus_musculus|M01689_1.94d|Berger08|Pou2f2_3748.1,0.8452217452446754,0.8880369450993255
POU2F2/Mus_musculus|M01693_1.94d|Berger08|Pou2f1_3081.2,0.9102882359291864,0.9423723929862009
POU2F2/Mus_musculus|M01694_1.94d|DREAM_contest|1085,0.7478477584399855,0.8130475316261836
POU2F2/Nasonia_vitripennis|M01706_1.94d|Zoo_01|6832,0.9011729664627716,0.9362393122487394
POU2F2/Takifugu_rubripes|M01700_1.94d|Zoo_01|6957,0.8763661798022991,0.922867106229877
RFX5/Mus_musculus|M02099_1.94d|DREAM_contest|1416,0.7077913381672103,0.7987156106297593
RFX5/Mus_musculus|M02100_1.94d|Badis09|Rfxdc2_3516.1=v1,0.7646420719347492,0.8322081994100207
RUNX1/Homo_sapiens|NA|Shen2018|RUNX1,0.9060457486647324,0.9345792941665244
RUNX1/Homo_sapiens|NA|Shen2018|RUNX2,0.8863136442351901,0.9256613430429064
RUNX3/Homo_sapiens|NA|Shen2018|RUNX1,0.9085691304989812,0.9373777051322484
RUNX3/Homo_sapiens|NA|Shen2018|RUNX2,0.8868960827424046,0.9269083856263852
SP1/Mus_musculus|M00595_1.94d|Zoo_01|12,0.6952136537942104,0.7547072350040422
SP1/Mus_musculus|M00596_1.94d|Badis09|Sp4_1011.2=v1,0.8076832936703222,0.8663104608643499
SP1/PBM_CONSTRUCTS|M00804_1.94d|Lam11|953,0.44929814966574255,0.5855323903357513
SPI1/Mus_musculus|M00973_1.94d|Badis09|Sfpi1_1034.2=v1,0.905967590238678,0.9284784974184764
SPI1/Mus_musculus|M00974_1.94d|Wei10|Sfpi1,0.9178269999134102,0.9433179315401384
SRF/Caenorhabditis_elegans|M01772_1.94d|CEPD|10570,0.4863675612008556,0.6113391718471519
SRF/Dictyostelium_discoideum|M01770_1.94d|Zoo_01|981,0.6175112567698792,0.7009188639928022
STAT3/Mus_musculus|NA|Unpublished|Stat3,0.7333840796659405,0.8214968961658475
TBP/Homo_sapiens|NA|Unpublished|TBP,0.8538409086717621,0.892120144872713
TBP/Mus_musculus|M02225_1.94d|Badis09|Tbp_pr781.1=v2,0.6227211654211922,0.7178020923597221
TCF12/Homo_sapiens|NA|Unpublished|TCF3,0.9080947582298948,0.9408195167127988
TCF12/Mus_musculus|M00231_1.94d|DREAM_contest|1466,0.7883043122374521,0.8469316428722764
TCF12/Mus_musculus|M00233_1.94d|Badis09|Tcfe2a_3865.1=v2,0.8087761463837934,0.8706642630496977
TCF12/Mus_musculus|M00254_1.94d|Zoo_01|1362,0.7075968464874828,0.7930292186560713
TCF12/Mus_musculus|M00266_1.94d|Zoo_01|207,0.8771464949835109,0.9274707212580632
TCF7L2/Mus_musculus|M02156_1.94d|Badis09|Tcf7_0950.2=v2,0.8061893549125837,0.8563083568482214
TCF7L2/Mus_musculus|M02162_1.94d|Badis09|Tcf7l2_3461.1=v1,0.8058989529345448,0.8627193627730081
TCF7L2/Mus_musculus|M02164_1.94d|Badis09|Lef1_3504.1=v1,0.8457363224757593,0.8905409403576311
TFAP2C/Homo_sapiens|NA|Unpublished|TFAP2A,0.6425117606870819,0.7000345717026026
TFAP2C/Mus_musculus|M00117_1.94d|Badis09|Tcfap2a_2337.3=v2,0.7547689962747195,0.8011057176009349
TFAP2C/Mus_musculus|M00118_1.94d|Badis09|Tcfap2b_3988.1=v2,0.7576873863296795,0.8254421510294782
TFAP2C/Mus_musculus|M00119_1.94d|Badis09|Tcfap2c_2912.2=v2,0.7683126751097354,0.84498817526859
USF1/Mus_musculus|M00268_1.94d|Zoo_01|2533,0.3619989066979773,0.4602570327302686
USF2/Mus_musculus|M00268_1.94d|Zoo_01|2533,0.35573389201153754,0.4600036102003332
