task,val
training_fold_0_neg_mean_squared_error,-0.015980699079763554
validation_fold_0_neg_mean_squared_error,-0.07021514531186483
training_fold_0_r2,0.8636810361034872
validation_fold_0_r2,0.360674672342967
training_fold_1_neg_mean_squared_error,-0.03722526625660771
validation_fold_1_neg_mean_squared_error,-0.055332567485798546
training_fold_1_r2,0.6772153064622468
validation_fold_1_r2,0.5289130845502921
training_fold_2_neg_mean_squared_error,-0.023105806799233568
validation_fold_2_neg_mean_squared_error,-0.07355000277569369
training_fold_2_r2,0.795525556402646
validation_fold_2_r2,0.41950591049742014
training_fold_3_neg_mean_squared_error,-0.011100696456205072
validation_fold_3_neg_mean_squared_error,-0.0735901541885806
training_fold_3_r2,0.9050152929495605
validation_fold_3_r2,0.33875001192973364
training_fold_4_neg_mean_squared_error,-0.011983224172619168
validation_fold_4_neg_mean_squared_error,-0.06945516660383473
training_fold_4_r2,0.8969927475962853
validation_fold_4_r2,0.3876505584367228
cross_validation_pearson_corr,0.6744485368600368
test_set_pearson_corr,0.7715054676808546
