task,val
training_fold_0_neg_mean_squared_error,-0.011651984809488413
validation_fold_0_neg_mean_squared_error,-0.1320358453688107
training_fold_0_r2,0.9386102264383478
validation_fold_0_r2,0.28462511806768165
training_fold_1_neg_mean_squared_error,-0.07775697358775913
validation_fold_1_neg_mean_squared_error,-0.10259820344955972
training_fold_1_r2,0.585023337605333
validation_fold_1_r2,0.4718396341738921
training_fold_2_neg_mean_squared_error,-0.013358797395820472
validation_fold_2_neg_mean_squared_error,-0.1425294293212132
training_fold_2_r2,0.9286300007316401
validation_fold_2_r2,0.2693953987760562
training_fold_3_neg_mean_squared_error,-0.05688113389394385
validation_fold_3_neg_mean_squared_error,-0.09794624335326953
training_fold_3_r2,0.6994572084012987
validation_fold_3_r2,0.4754777616006548
training_fold_4_neg_mean_squared_error,-0.01856858961451061
validation_fold_4_neg_mean_squared_error,-0.12667129507320302
training_fold_4_r2,0.9023582983656798
validation_fold_4_r2,0.30820593893925663
cross_validation_pearson_corr,0.6474923453131162
test_set_pearson_corr,0.7285957597848066
