task,val
training_fold_0_neg_mean_squared_error,-0.05177007454788851
validation_fold_0_neg_mean_squared_error,-0.07701566151270427
training_fold_0_r2,0.750575697763212
validation_fold_0_r2,0.6052782913001644
training_fold_1_neg_mean_squared_error,-0.041920055442510096
validation_fold_1_neg_mean_squared_error,-0.08375624276396403
training_fold_1_r2,0.7960920611603531
validation_fold_1_r2,0.587472410896323
training_fold_2_neg_mean_squared_error,-0.0541690237660919
validation_fold_2_neg_mean_squared_error,-0.0789684331037626
training_fold_2_r2,0.7290480799143202
validation_fold_2_r2,0.6500111180140762
training_fold_3_neg_mean_squared_error,-0.04981735083503215
validation_fold_3_neg_mean_squared_error,-0.07977484794313769
training_fold_3_r2,0.7564537550339414
validation_fold_3_r2,0.6149091709492474
training_fold_4_neg_mean_squared_error,-0.05158475941681243
validation_fold_4_neg_mean_squared_error,-0.08173631447571515
training_fold_4_r2,0.7516957049820976
validation_fold_4_r2,0.5794412500480286
training_sequence_length,36.0
cross_validation_pearson_corr,0.7839414635963861
test_set_pearson_corr,0.8312140644773498
