task,val
training_fold_0_neg_mean_squared_error,-0.07972485868531143
validation_fold_0_neg_mean_squared_error,-0.17041767935674546
training_fold_0_r2,0.8932189380688269
validation_fold_0_r2,0.7675953084618614
training_fold_1_neg_mean_squared_error,-0.09319839308975217
validation_fold_1_neg_mean_squared_error,-0.16720341117704007
training_fold_1_r2,0.8745628646073749
validation_fold_1_r2,0.7764238216614042
training_fold_2_neg_mean_squared_error,-0.07821052577205301
validation_fold_2_neg_mean_squared_error,-0.13673555130357049
training_fold_2_r2,0.8938231915879985
validation_fold_2_r2,0.8231955028890564
training_fold_3_neg_mean_squared_error,-0.08623651967390553
validation_fold_3_neg_mean_squared_error,-0.14931954338932654
training_fold_3_r2,0.8838417095875094
validation_fold_3_r2,0.8009515879964499
training_fold_4_neg_mean_squared_error,-0.0884410779871326
validation_fold_4_neg_mean_squared_error,-0.12642102477373654
training_fold_4_r2,0.8822666998292303
validation_fold_4_r2,0.8231809149979247
training_sequence_length,40.0
cross_validation_pearson_corr,0.8944071233101947
test_set_pearson_corr,0.9135564113241371
