task,val
training_fold_0_neg_mean_squared_error,-0.2694037914770046
validation_fold_0_neg_mean_squared_error,-0.4207246575969647
training_fold_0_r2,0.8231947816468551
validation_fold_0_r2,0.7100413619582226
training_fold_1_neg_mean_squared_error,-0.24480748927280108
validation_fold_1_neg_mean_squared_error,-0.43299625348592274
training_fold_1_r2,0.837928296570605
validation_fold_1_r2,0.7120908123732393
training_fold_2_neg_mean_squared_error,-0.2567799139156854
validation_fold_2_neg_mean_squared_error,-0.44835412818775067
training_fold_2_r2,0.8285209305382618
validation_fold_2_r2,0.7118749334691982
training_fold_3_neg_mean_squared_error,-0.2492186286719337
validation_fold_3_neg_mean_squared_error,-0.4701457218852657
training_fold_3_r2,0.8335912150393867
validation_fold_3_r2,0.6977352368080304
training_fold_4_neg_mean_squared_error,-0.15667925722558318
validation_fold_4_neg_mean_squared_error,-0.530374320120777
training_fold_4_r2,0.8966919220335765
validation_fold_4_r2,0.6414816557637988
training_sequence_length,40.0
cross_validation_pearson_corr,0.8372362692989179
test_set_pearson_corr,0.8785202696302953
