task,val
training_fold_0_neg_mean_squared_error,-0.09458903576046176
validation_fold_0_neg_mean_squared_error,-0.1417588599892169
training_fold_0_r2,0.9042402208154922
validation_fold_0_r2,0.8550125458445341
training_fold_1_neg_mean_squared_error,-0.09137899086372277
validation_fold_1_neg_mean_squared_error,-0.14180322049075683
training_fold_1_r2,0.9071990189586425
validation_fold_1_r2,0.8567884747445612
training_fold_2_neg_mean_squared_error,-0.10626668467948723
validation_fold_2_neg_mean_squared_error,-0.147730091211617
training_fold_2_r2,0.8917911353481981
validation_fold_2_r2,0.8523575176214766
training_fold_3_neg_mean_squared_error,-0.09625130965301373
validation_fold_3_neg_mean_squared_error,-0.14764316596139399
training_fold_3_r2,0.902263843238713
validation_fold_3_r2,0.850806213236
training_fold_4_neg_mean_squared_error,-0.115742523732143
validation_fold_4_neg_mean_squared_error,-0.14974272454046186
training_fold_4_r2,0.8830364306437479
validation_fold_4_r2,0.8457224421711079
training_sequence_length,36.0
cross_validation_pearson_corr,0.9242209330895225
test_set_pearson_corr,0.9383634126023931
