task,val
training_fold_0_neg_mean_squared_error,-0.010241598981791906
validation_fold_0_neg_mean_squared_error,-0.13130529165571084
training_fold_0_r2,0.9906651159906551
validation_fold_0_r2,0.8762031657903178
training_fold_1_neg_mean_squared_error,-0.024822194164252884
validation_fold_1_neg_mean_squared_error,-0.11743019781873747
training_fold_1_r2,0.9773516238840149
validation_fold_1_r2,0.8897945620040494
training_fold_2_neg_mean_squared_error,-0.010169970135293423
validation_fold_2_neg_mean_squared_error,-0.12146821595677865
training_fold_2_r2,0.9905341737310872
validation_fold_2_r2,0.8945224786717527
training_fold_3_neg_mean_squared_error,-0.06765402131716948
validation_fold_3_neg_mean_squared_error,-0.10046713375060237
training_fold_3_r2,0.9376667184011769
validation_fold_3_r2,0.9093236499498047
training_fold_4_neg_mean_squared_error,-0.016761190947796073
validation_fold_4_neg_mean_squared_error,-0.12928402419672885
training_fold_4_r2,0.984715084853747
validation_fold_4_r2,0.8783866888466609
cross_validation_pearson_corr,0.9448763483746692
test_set_pearson_corr,0.9658343172468538
