task,val
training_fold_0_neg_mean_squared_error,-0.09992251417047052
validation_fold_0_neg_mean_squared_error,-0.13152534449940162
training_fold_0_r2,0.5570291412728776
validation_fold_0_r2,0.4179195819144803
training_fold_1_neg_mean_squared_error,-0.018689481845285325
validation_fold_1_neg_mean_squared_error,-0.189219321965144
training_fold_1_r2,0.917400040040167
validation_fold_1_r2,0.1523387464111513
training_fold_2_neg_mean_squared_error,-0.014876940357568258
validation_fold_2_neg_mean_squared_error,-0.20037186295300058
training_fold_2_r2,0.9328057911892982
validation_fold_2_r2,0.17407804615060063
training_fold_3_neg_mean_squared_error,-0.09967865075986655
validation_fold_3_neg_mean_squared_error,-0.12694364171944272
training_fold_3_r2,0.5614363956878758
validation_fold_3_r2,0.4207391660541585
training_fold_4_neg_mean_squared_error,-0.01675293631139929
validation_fold_4_neg_mean_squared_error,-0.19024297713328212
training_fold_4_r2,0.9264429815914953
validation_fold_4_r2,0.12432951658874147
cross_validation_pearson_corr,0.585793993562436
test_set_pearson_corr,0.7035006122404043
