task,val
training_fold_0_neg_mean_squared_error,-0.23666517464406586
validation_fold_0_neg_mean_squared_error,-0.318784124791793
training_fold_0_r2,0.6461533096384215
validation_fold_0_r2,0.5216131442101685
training_fold_1_neg_mean_squared_error,-0.018636756253544065
validation_fold_1_neg_mean_squared_error,-0.5527352240985374
training_fold_1_r2,0.9721024338319182
validation_fold_1_r2,0.17461638198519236
training_fold_2_neg_mean_squared_error,-0.21832617603103105
validation_fold_2_neg_mean_squared_error,-0.3239443829476181
training_fold_2_r2,0.671694963497075
validation_fold_2_r2,0.5247388417369494
training_fold_3_neg_mean_squared_error,-0.23010774770495232
validation_fold_3_neg_mean_squared_error,-0.3166020987833725
training_fold_3_r2,0.6539055364630474
validation_fold_3_r2,0.53602726166019
training_fold_4_neg_mean_squared_error,-0.02472807946352658
validation_fold_4_neg_mean_squared_error,-0.4371267243019631
training_fold_4_r2,0.9633702226651248
validation_fold_4_r2,0.31861904472092106
cross_validation_pearson_corr,0.6788313220392656
test_set_pearson_corr,0.7845296268645645
