task,val
training_fold_0_neg_mean_squared_error,-0.0617174752105083
validation_fold_0_neg_mean_squared_error,-0.11964130720431566
training_fold_0_r2,0.520995520158111
validation_fold_0_r2,-0.044965076519444036
training_fold_1_neg_mean_squared_error,-0.07025368777026153
validation_fold_1_neg_mean_squared_error,-0.1227799134928685
training_fold_1_r2,0.4428169000123554
validation_fold_1_r2,0.02201303374367014
training_fold_2_neg_mean_squared_error,-0.03298386867041598
validation_fold_2_neg_mean_squared_error,-0.14524020579537364
training_fold_2_r2,0.725526299064954
validation_fold_2_r2,0.026059543440237976
training_fold_3_neg_mean_squared_error,-0.027806926031782225
validation_fold_3_neg_mean_squared_error,-0.1206495934179829
training_fold_3_r2,0.7821786750087518
validation_fold_3_r2,-0.011680133704315754
training_fold_4_neg_mean_squared_error,-0.02819947063452889
validation_fold_4_neg_mean_squared_error,-0.11280966173877288
training_fold_4_r2,0.7781771384500438
validation_fold_4_r2,0.07064494757498818
training_sequence_length,35.0
cross_validation_pearson_corr,0.35885178341974067
test_set_pearson_corr,0.5115914790263577
