task,val
training_fold_0_neg_mean_squared_error,-0.009839296588657448
validation_fold_0_neg_mean_squared_error,-0.06619921246309171
training_fold_0_r2,0.8140611796600292
validation_fold_0_r2,-0.33382022378842846
training_fold_1_neg_mean_squared_error,-0.019949992291685884
validation_fold_1_neg_mean_squared_error,-0.06194785352699935
training_fold_1_r2,0.6180028761045608
validation_fold_1_r2,-0.18229640918217305
training_fold_2_neg_mean_squared_error,-0.015983740827010946
validation_fold_2_neg_mean_squared_error,-0.05967871260550007
training_fold_2_r2,0.6884588306139652
validation_fold_2_r2,-0.06439043983491577
training_fold_3_neg_mean_squared_error,-0.019153050165468203
validation_fold_3_neg_mean_squared_error,-0.05516254398194549
training_fold_3_r2,0.6334971475609601
validation_fold_3_r2,-0.05547861405294552
training_fold_4_neg_mean_squared_error,-0.017484361057941385
validation_fold_4_neg_mean_squared_error,-0.05660849744430793
training_fold_4_r2,0.667544252066391
validation_fold_4_r2,-0.11149430783640524
cross_validation_pearson_corr,0.2996820318650876
test_set_pearson_corr,0.4035568213660911
