task,val
training_fold_0_neg_mean_squared_error,-0.008898641999407335
validation_fold_0_neg_mean_squared_error,-0.010223500591680399
training_fold_0_r2,0.45163416388473676
validation_fold_0_r2,0.3490584309763155
training_fold_1_neg_mean_squared_error,-0.007614761582072531
validation_fold_1_neg_mean_squared_error,-0.011817987929807443
training_fold_1_r2,0.5054133732685056
validation_fold_1_r2,0.3788842654404171
training_fold_2_neg_mean_squared_error,-0.00838353092463086
validation_fold_2_neg_mean_squared_error,-0.008860376217113731
training_fold_2_r2,0.48154963182686117
validation_fold_2_r2,0.44386743711026944
training_fold_3_neg_mean_squared_error,-0.012189225724366102
validation_fold_3_neg_mean_squared_error,-0.011886014572959612
training_fold_3_r2,0.2559061048650435
validation_fold_3_r2,0.21234177966910917
training_fold_4_neg_mean_squared_error,-0.007572459569914381
validation_fold_4_neg_mean_squared_error,-0.007329044808570802
training_fold_4_r2,0.5393948578800503
validation_fold_4_r2,0.5066304000595458
training_sequence_length,36.0
cross_validation_pearson_corr,0.6409597603645849
test_set_pearson_corr,0.7107066417109368
