task,val
training_fold_0_neg_mean_squared_error,-0.08258302716272498
validation_fold_0_neg_mean_squared_error,-0.12387180868274342
training_fold_0_r2,0.7335546680119822
validation_fold_0_r2,0.5807960362007918
training_fold_1_neg_mean_squared_error,-0.08891481857006957
validation_fold_1_neg_mean_squared_error,-0.12665179665686
training_fold_1_r2,0.7098379263084953
validation_fold_1_r2,0.5908630844986964
training_fold_2_neg_mean_squared_error,-0.08205948223498014
validation_fold_2_neg_mean_squared_error,-0.12619869191584815
training_fold_2_r2,0.7293006887206724
validation_fold_2_r2,0.6088899237378864
training_fold_3_neg_mean_squared_error,-0.08337075032833462
validation_fold_3_neg_mean_squared_error,-0.12142431579982063
training_fold_3_r2,0.7283597513288631
validation_fold_3_r2,0.6052759891664475
training_fold_4_neg_mean_squared_error,-0.09396988131031031
validation_fold_4_neg_mean_squared_error,-0.12398766024141879
training_fold_4_r2,0.6957454442556501
validation_fold_4_r2,0.5865158733512181
training_sequence_length,35.0
cross_validation_pearson_corr,0.7738534086791576
test_set_pearson_corr,0.8110411123543437
