task,val
training_fold_0_neg_mean_squared_error,-0.05163603783656898
validation_fold_0_neg_mean_squared_error,-0.12510513927977437
training_fold_0_r2,0.9335633046817714
validation_fold_0_r2,0.836794770039803
training_fold_1_neg_mean_squared_error,-0.06984398384561907
validation_fold_1_neg_mean_squared_error,-0.12041705873001765
training_fold_1_r2,0.9100761903149014
validation_fold_1_r2,0.8433520736110944
training_fold_2_neg_mean_squared_error,-0.07360084505051652
validation_fold_2_neg_mean_squared_error,-0.11515160559256106
training_fold_2_r2,0.904739194321574
validation_fold_2_r2,0.8532789957593985
training_fold_3_neg_mean_squared_error,-0.07311982428906312
validation_fold_3_neg_mean_squared_error,-0.11442980012508838
training_fold_3_r2,0.9051796875655982
validation_fold_3_r2,0.8553271208514511
training_fold_4_neg_mean_squared_error,-0.07108623139691136
validation_fold_4_neg_mean_squared_error,-0.1138536756851427
training_fold_4_r2,0.9086078336725723
validation_fold_4_r2,0.8510217669477091
training_sequence_length,35.0
cross_validation_pearson_corr,0.9215540575317492
test_set_pearson_corr,0.936421864886187
