task,val
training_fold_0_neg_mean_squared_error,-0.06091686258119786
validation_fold_0_neg_mean_squared_error,-0.11968424125980386
training_fold_0_r2,0.7411933033431086
validation_fold_0_r2,0.4567778371433151
training_fold_1_neg_mean_squared_error,-0.032152936709385
validation_fold_1_neg_mean_squared_error,-0.09873620331484698
training_fold_1_r2,0.8609954437651484
validation_fold_1_r2,0.5826352056128441
training_fold_2_neg_mean_squared_error,-0.038882952204825766
validation_fold_2_neg_mean_squared_error,-0.08858218973970454
training_fold_2_r2,0.8303602477484661
validation_fold_2_r2,0.6383673164582107
training_fold_3_neg_mean_squared_error,-0.03789318504495117
validation_fold_3_neg_mean_squared_error,-0.1067596098788081
training_fold_3_r2,0.8369695693992493
validation_fold_3_r2,0.5400480812786042
training_fold_4_neg_mean_squared_error,-0.07267547291365492
validation_fold_4_neg_mean_squared_error,-0.09359514054908032
training_fold_4_r2,0.68875981343292
validation_fold_4_r2,0.5891372346467911
cross_validation_pearson_corr,0.7646420719347492
test_set_pearson_corr,0.8322081994100207
