task,val
training_fold_0_neg_mean_squared_error,-0.035090529173822486
validation_fold_0_neg_mean_squared_error,-0.04027051553703149
training_fold_0_r2,0.6055094956112985
validation_fold_0_r2,0.5214155382482828
training_fold_1_neg_mean_squared_error,-0.03361043223841067
validation_fold_1_neg_mean_squared_error,-0.04522436703463438
training_fold_1_r2,0.6166047577548243
validation_fold_1_r2,0.49354570060378555
training_fold_2_neg_mean_squared_error,-0.03888751537614964
validation_fold_2_neg_mean_squared_error,-0.05054868103062001
training_fold_2_r2,0.5503048525519769
validation_fold_2_r2,0.4622430607369201
training_fold_3_neg_mean_squared_error,-0.039318422980617364
validation_fold_3_neg_mean_squared_error,-0.04641560561999062
training_fold_3_r2,0.5550836146516474
validation_fold_3_r2,0.46323779712793944
training_fold_4_neg_mean_squared_error,-0.03261782289051213
validation_fold_4_neg_mean_squared_error,-0.043373420213480986
training_fold_4_r2,0.6314158918915911
validation_fold_4_r2,0.49554789356903084
training_sequence_length,35.0
cross_validation_pearson_corr,0.7019698117130044
test_set_pearson_corr,0.7310238145780066
