task,val
training_fold_0_neg_mean_squared_error,-0.02439451322307184
validation_fold_0_neg_mean_squared_error,-0.029302435501861946
training_fold_0_r2,0.5850320471308688
validation_fold_0_r2,0.47580009891124186
training_fold_1_neg_mean_squared_error,-0.02638119589159021
validation_fold_1_neg_mean_squared_error,-0.03360339505436389
training_fold_1_r2,0.5450695124129168
validation_fold_1_r2,0.4313025617228595
training_fold_2_neg_mean_squared_error,-0.02799505450866685
validation_fold_2_neg_mean_squared_error,-0.03473862761941925
training_fold_2_r2,0.5069001410096065
validation_fold_2_r2,0.45673169217240905
training_fold_3_neg_mean_squared_error,-0.04216157119641892
validation_fold_3_neg_mean_squared_error,-0.045402517796688
training_fold_3_r2,0.2821554990054206
validation_fold_3_r2,0.19086215018216734
training_fold_4_neg_mean_squared_error,-0.027245996294327075
validation_fold_4_neg_mean_squared_error,-0.03242577358243444
training_fold_4_r2,0.5363410673259017
validation_fold_4_r2,0.42089472891156665
training_sequence_length,36.0
cross_validation_pearson_corr,0.6634069932491742
test_set_pearson_corr,0.7789794478811191
