task,val
training_fold_0_neg_mean_squared_error,-0.11545367234863925
validation_fold_0_neg_mean_squared_error,-0.18981044804107433
training_fold_0_r2,0.8612284321225787
validation_fold_0_r2,0.7709239233725086
training_fold_1_neg_mean_squared_error,-0.1265756692125907
validation_fold_1_neg_mean_squared_error,-0.18351813319700727
training_fold_1_r2,0.8474029163715926
validation_fold_1_r2,0.7811605570262854
training_fold_2_neg_mean_squared_error,-0.09324727315746126
validation_fold_2_neg_mean_squared_error,-0.21523029849807931
training_fold_2_r2,0.8877315798267532
validation_fold_2_r2,0.7419540794353396
training_fold_3_neg_mean_squared_error,-0.12338963163904308
validation_fold_3_neg_mean_squared_error,-0.18163831371263262
training_fold_3_r2,0.8516418457797759
validation_fold_3_r2,0.7810761299325932
training_fold_4_neg_mean_squared_error,-0.13063771602148838
validation_fold_4_neg_mean_squared_error,-0.19276512313729574
training_fold_4_r2,0.8431299538699212
validation_fold_4_r2,0.7664469025401213
training_sequence_length,36.0
cross_validation_pearson_corr,0.8773664089906181
test_set_pearson_corr,0.8970920701757046
