task,val
training_fold_0_neg_mean_squared_error,-0.07268322334150004
validation_fold_0_neg_mean_squared_error,-0.0962338444164409
training_fold_0_r2,0.6901204380854802
validation_fold_0_r2,0.5709331608269919
training_fold_1_neg_mean_squared_error,-0.06628393742737526
validation_fold_1_neg_mean_squared_error,-0.09917539583224902
training_fold_1_r2,0.7144919071430929
validation_fold_1_r2,0.5759427485710611
training_fold_2_neg_mean_squared_error,-0.06902012763853224
validation_fold_2_neg_mean_squared_error,-0.09584192092981401
training_fold_2_r2,0.7002142279580609
validation_fold_2_r2,0.603204650554579
training_fold_3_neg_mean_squared_error,-0.06294608068879252
validation_fold_3_neg_mean_squared_error,-0.09077890538585584
training_fold_3_r2,0.7291308180782515
validation_fold_3_r2,0.6103407794439764
training_fold_4_neg_mean_squared_error,-0.061507432870249186
validation_fold_4_neg_mean_squared_error,-0.09255935385361225
training_fold_4_r2,0.7362257245570671
validation_fold_4_r2,0.5971642317495369
training_sequence_length,35.0
cross_validation_pearson_corr,0.7732987137888487
test_set_pearson_corr,0.813871089352188
