task,val
training_fold_0_neg_mean_squared_error,-0.07546551249464138
validation_fold_0_neg_mean_squared_error,-0.1065183120744765
training_fold_0_r2,0.7631950377735621
validation_fold_0_r2,0.6625757222212367
training_fold_1_neg_mean_squared_error,-0.06786188424099572
validation_fold_1_neg_mean_squared_error,-0.10009045588629192
training_fold_1_r2,0.7867527892418031
validation_fold_1_r2,0.6847506147026586
training_fold_2_neg_mean_squared_error,-0.08559787365347007
validation_fold_2_neg_mean_squared_error,-0.11600751936346898
training_fold_2_r2,0.7286580504673774
validation_fold_2_r2,0.6469112305084204
training_fold_3_neg_mean_squared_error,-0.07120865402801889
validation_fold_3_neg_mean_squared_error,-0.1013293721848663
training_fold_3_r2,0.7760816313645456
validation_fold_3_r2,0.6817257898533609
training_fold_4_neg_mean_squared_error,-0.08129099022119174
validation_fold_4_neg_mean_squared_error,-0.09793438089390986
training_fold_4_r2,0.7459908556197232
validation_fold_4_r2,0.684366466233222
training_sequence_length,36.0
cross_validation_pearson_corr,0.8231196700433523
test_set_pearson_corr,0.8554661066625096
