task,val
training_fold_0_neg_mean_squared_error,-0.10028023386357059
validation_fold_0_neg_mean_squared_error,-0.13773632357019425
training_fold_0_r2,0.7989455882802458
validation_fold_0_r2,0.717843548068698
training_fold_1_neg_mean_squared_error,-0.09880804179037471
validation_fold_1_neg_mean_squared_error,-0.13941343597972475
training_fold_1_r2,0.8011927800369959
validation_fold_1_r2,0.7185035913403746
training_fold_2_neg_mean_squared_error,-0.09792279555829957
validation_fold_2_neg_mean_squared_error,-0.14416756194565886
training_fold_2_r2,0.8006105990402885
validation_fold_2_r2,0.7221123273270482
training_fold_3_neg_mean_squared_error,-0.09781518424440393
validation_fold_3_neg_mean_squared_error,-0.14214106805332052
training_fold_3_r2,0.802901889469893
validation_fold_3_r2,0.7146641908191533
training_fold_4_neg_mean_squared_error,-0.1093412843149908
validation_fold_4_neg_mean_squared_error,-0.14054445361587248
training_fold_4_r2,0.7813642924633926
validation_fold_4_r2,0.708908371594257
training_sequence_length,36.0
cross_validation_pearson_corr,0.8472080410808712
test_set_pearson_corr,0.8776892511971481
