task,val
training_fold_0_neg_mean_squared_error,-0.014142359372660812
validation_fold_0_neg_mean_squared_error,-0.01848462225096319
training_fold_0_r2,0.5533895274534111
validation_fold_0_r2,0.4034736884837523
training_fold_1_neg_mean_squared_error,-0.01307704307001042
validation_fold_1_neg_mean_squared_error,-0.017243250111449785
training_fold_1_r2,0.5829524617471495
validation_fold_1_r2,0.46494698808789015
training_fold_2_neg_mean_squared_error,-0.017375773919983444
validation_fold_2_neg_mean_squared_error,-0.02031897477962272
training_fold_2_r2,0.44498525097764796
validation_fold_2_r2,0.37326137405092974
training_fold_3_neg_mean_squared_error,-0.01988527002624885
validation_fold_3_neg_mean_squared_error,-0.02221945558245122
training_fold_3_r2,0.36916978223152286
validation_fold_3_r2,0.2960229774186799
training_fold_4_neg_mean_squared_error,-0.015554295786940705
validation_fold_4_neg_mean_squared_error,-0.0175726021015034
training_fold_4_r2,0.510882075066035
validation_fold_4_r2,0.42288464618814003
cross_validation_pearson_corr,0.6425117606870819
test_set_pearson_corr,0.7000345717026026
