task,val
training_fold_0_neg_mean_squared_error,-0.01579583583591065
validation_fold_0_neg_mean_squared_error,-0.1613747464447535
training_fold_0_r2,0.9541071402054343
validation_fold_0_r2,0.5106156306496912
training_fold_1_neg_mean_squared_error,-0.018245159555497575
validation_fold_1_neg_mean_squared_error,-0.15238004707196598
training_fold_1_r2,0.946633793291592
validation_fold_1_r2,0.5504558679045417
training_fold_2_neg_mean_squared_error,-0.10085316310631579
validation_fold_2_neg_mean_squared_error,-0.15764824753506196
training_fold_2_r2,0.696880232731845
validation_fold_2_r2,0.5803042362970607
training_fold_3_neg_mean_squared_error,-0.07524422181092554
validation_fold_3_neg_mean_squared_error,-0.12017585991324257
training_fold_3_r2,0.7806308684483063
validation_fold_3_r2,0.640721643481829
training_fold_4_neg_mean_squared_error,-0.1067336520170475
validation_fold_4_neg_mean_squared_error,-0.13957130394230285
training_fold_4_r2,0.6903682856232516
validation_fold_4_r2,0.5740052121298538
cross_validation_pearson_corr,0.7683126751097354
test_set_pearson_corr,0.84498817526859
