task,val
training_fold_0_neg_mean_squared_error,-0.03165312367763373
validation_fold_0_neg_mean_squared_error,-0.3230740845912854
training_fold_0_r2,0.8776919361064746
validation_fold_0_r2,-0.3092813069682354
training_fold_1_neg_mean_squared_error,-0.13740599878031806
validation_fold_1_neg_mean_squared_error,-0.21093507500282607
training_fold_1_r2,0.46307583163862887
validation_fold_1_r2,0.18323673071546742
training_fold_2_neg_mean_squared_error,-0.16416160743607924
validation_fold_2_neg_mean_squared_error,-0.20776416486965957
training_fold_2_r2,0.3539928200970286
validation_fold_2_r2,0.21717513533473998
training_fold_3_neg_mean_squared_error,-0.062115569781424976
validation_fold_3_neg_mean_squared_error,-0.2845067668510355
training_fold_3_r2,0.7570648511241093
validation_fold_3_r2,-0.09763346573076492
training_fold_4_neg_mean_squared_error,-0.024963683750763303
validation_fold_4_neg_mean_squared_error,-0.33244158468446366
training_fold_4_r2,0.9030268913338027
validation_fold_4_r2,-0.31799242338722955
cross_validation_pearson_corr,0.3619989066979773
test_set_pearson_corr,0.4602570327302686
