task,val
training_fold_0_neg_mean_squared_error,-0.1758522732428099
validation_fold_0_neg_mean_squared_error,-0.22803708859719982
training_fold_0_r2,0.6245894161192496
validation_fold_0_r2,0.508466106330201
n_filter,20
n_layer,3
n_epoch,300 
training_fold_1_neg_mean_squared_error,-0.19016709533973086
validation_fold_1_neg_mean_squared_error,-0.2294180476134337
training_fold_1_r2,0.5910578202102521
validation_fold_1_r2,0.5195667882817789
n_filter,20
n_layer,3
n_epoch,300
training_fold_2_neg_mean_squared_error,-0.18016472927188604
validation_fold_2_neg_mean_squared_error,-0.20496122626962426
training_fold_2_r2,0.6081454949129432
validation_fold_2_r2,0.588853607679239
n_filter,20
n_layer,3
n_epoch,300
training_fold_3_neg_mean_squared_error,-0.18026273575380686
validation_fold_3_neg_mean_squared_error,-0.19402172178996313
training_fold_3_r2,0.6164416250696529
validation_fold_3_r2,0.5760932421620149
n_filter,20
n_layer,3
n_epoch,300 
training_fold_4_neg_mean_squared_error,-0.17116326327020995
validation_fold_4_neg_mean_squared_error,-0.18665906132255553
training_fold_4_r2,0.639237002485112
validation_fold_4_r2,0.5756291291193021
n_filter,20
n_layer,3
n_epoch,300 
cross_validation_pearson_corr,0.7451570952404395
test_set_pearson_corr,0.7827164724139747
