task,val
training_fold_0_neg_mean_squared_error,-0.031017562003315468
validation_fold_0_neg_mean_squared_error,-0.05443204111384167
training_fold_0_r2,0.8289655304990835
validation_fold_0_r2,0.6784379602326314
n_filter,50.0
n_layer,3.0
n_epoch,400.0
training_fold_1_neg_mean_squared_error,-0.029666553274845478
validation_fold_1_neg_mean_squared_error,-0.05566424655420247
training_fold_1_r2,0.8339858771095363
validation_fold_1_r2,0.6905516723112886
n_filter,50.0
n_layer,3.0
n_epoch,400.0
training_fold_2_neg_mean_squared_error,-0.03135153403595464
validation_fold_2_neg_mean_squared_error,-0.0545854060864378
training_fold_2_r2,0.8219947404974695
validation_fold_2_r2,0.7129281696147803
n_filter,50.0
n_layer,3.0
n_epoch,400.0
training_fold_3_neg_mean_squared_error,-0.03148875830318555
validation_fold_3_neg_mean_squared_error,-0.05713333728819509
training_fold_3_r2,0.8235360682549
validation_fold_3_r2,0.6841936464253298
n_filter,50.0
n_layer,3.0
n_epoch,400.0
training_fold_4_neg_mean_squared_error,-0.0325926043878727
validation_fold_4_neg_mean_squared_error,-0.05424732955518544
training_fold_4_r2,0.8189911603169693
validation_fold_4_r2,0.689011954252599
n_filter,50.0
n_layer,3.0
n_epoch,400.0
cross_validation_pearson_corr,0.8346365761063146
test_set_pearson_corr,0.8701574654009504
