task,val
training_fold_0_neg_mean_squared_error,-0.05528736622081312
validation_fold_0_neg_mean_squared_error,-0.060307059476341664
training_fold_0_r2,0.5270499941142941
validation_fold_0_r2,0.45743790779036453
n_filter,20.0
n_layer,3.0
n_epoch,400.0
training_fold_1_neg_mean_squared_error,-0.051645762656579164
validation_fold_1_neg_mean_squared_error,-0.051448292986405714
training_fold_1_r2,0.5547438517097925
validation_fold_1_r2,0.5518829005958144
n_filter,20.0
n_layer,3.0
n_epoch,400.0
training_fold_2_neg_mean_squared_error,-0.04561266766906196
validation_fold_2_neg_mean_squared_error,-0.0610547751171197
training_fold_2_r2,0.5948374235668151
validation_fold_2_r2,0.524571469961161
n_filter,20.0
n_layer,3.0
n_epoch,400.0
training_fold_3_neg_mean_squared_error,-0.040631534652034895
validation_fold_3_neg_mean_squared_error,-0.050586319549453015
training_fold_3_r2,0.6526590489486144
validation_fold_3_r2,0.5436853375879035
n_filter,20.0
n_layer,3.0
n_epoch,400.0
training_fold_4_neg_mean_squared_error,-0.0457753189039423
validation_fold_4_neg_mean_squared_error,-0.05498737419101982
training_fold_4_r2,0.6064822757376
validation_fold_4_r2,0.5154334000248306
n_filter,20.0
n_layer,3.0
n_epoch,400.0
cross_validation_pearson_corr,0.722472334200782
test_set_pearson_corr,0.7572544737880601
