task,val
training_fold_0_neg_mean_squared_error,-0.06845773414751911
validation_fold_0_neg_mean_squared_error,-0.0994470483524369
training_fold_0_r2,0.8185808299514522
validation_fold_0_r2,0.7196342400692904
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_1_neg_mean_squared_error,-0.08281630500543147
validation_fold_1_neg_mean_squared_error,-0.10786420329760081
training_fold_1_r2,0.7772334824236273
validation_fold_1_r2,0.7138341108985308
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_2_neg_mean_squared_error,-0.08334776473715595
validation_fold_2_neg_mean_squared_error,-0.12292626570856005
training_fold_2_r2,0.7735833488870208
validation_fold_2_r2,0.68606171477123
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_3_neg_mean_squared_error,-0.07709447070962323
validation_fold_3_neg_mean_squared_error,-0.10895440935229711
training_fold_3_r2,0.792634372461521
validation_fold_3_r2,0.7109892727543128
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_4_neg_mean_squared_error,-0.08990971075019936
validation_fold_4_neg_mean_squared_error,-0.11804529120782367
training_fold_4_r2,0.7603020313191236
validation_fold_4_r2,0.675437978451625
n_filter,50.0
n_layer,3.0
n_epoch,200.0
cross_validation_pearson_corr,0.8383098016454329
test_set_pearson_corr,0.8738197732818648
