task,val
training_fold_0_neg_mean_squared_error,-0.06193398539005912
validation_fold_0_neg_mean_squared_error,-0.07454867159473803
training_fold_0_r2,0.49367798221318215
validation_fold_0_r2,0.36863348246811334
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_1_neg_mean_squared_error,-0.06446150616410223
validation_fold_1_neg_mean_squared_error,-0.07421962570447399
training_fold_1_r2,0.468651786742206
validation_fold_1_r2,0.39217812321583523
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_2_neg_mean_squared_error,-0.06148424779456368
validation_fold_2_neg_mean_squared_error,-0.07484682671706384
training_fold_2_r2,0.4889880277279155
validation_fold_2_r2,0.40615746721086177
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_3_neg_mean_squared_error,-0.06395089251434516
validation_fold_3_neg_mean_squared_error,-0.07998988665517037
training_fold_3_r2,0.47300549918837176
validation_fold_3_r2,0.3442230681160835
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_4_neg_mean_squared_error,-0.06768673136881712
validation_fold_4_neg_mean_squared_error,-0.07844862280830633
training_fold_4_r2,0.4454932805057429
validation_fold_4_r2,0.341355209498611
n_filter,50.0
n_layer,3.0
n_epoch,200.0
cross_validation_pearson_corr,0.6130146539367552
test_set_pearson_corr,0.6629919148017454
