task,val
training_fold_0_neg_mean_squared_error,-0.18994369723133764
validation_fold_0_neg_mean_squared_error,-0.22618583454701874
training_fold_0_r2,0.583368296651568
validation_fold_0_r2,0.47993530269316176
n_filter,50.0
n_layer,3.0
n_epoch,100.0
training_fold_1_neg_mean_squared_error,-0.19365559238745236
validation_fold_1_neg_mean_squared_error,-0.23753911125416982
training_fold_1_r2,0.5714361784177411
validation_fold_1_r2,0.4733707557422878
n_filter,50.0
n_layer,3.0
n_epoch,100.0
training_fold_2_neg_mean_squared_error,-0.14039073938380237
validation_fold_2_neg_mean_squared_error,-0.24282980888249195
training_fold_2_r2,0.684654397644115
validation_fold_2_r2,0.4915702236085826
n_filter,50.0
n_layer,3.0
n_epoch,100.0
training_fold_3_neg_mean_squared_error,-0.17596001493507774
validation_fold_3_neg_mean_squared_error,-0.21323893287245113
training_fold_3_r2,0.6104117159556615
validation_fold_3_r2,0.5281549650047874
n_filter,50.0
n_layer,3.0
n_epoch,100.0
training_fold_4_neg_mean_squared_error,-0.14309794767768208
validation_fold_4_neg_mean_squared_error,-0.23693622972069917
training_fold_4_r2,0.6847462711823245
validation_fold_4_r2,0.46500369679416376
n_filter,50.0
n_layer,3.0
n_epoch,100.0
cross_validation_pearson_corr,0.7013276577407939
test_set_pearson_corr,0.7457746730983789
