task,val
training_fold_0_neg_mean_squared_error,-0.3757648110482923
validation_fold_0_neg_mean_squared_error,-0.465631953738764
training_fold_0_r2,0.724723826688504
validation_fold_0_r2,0.6554895725742835
n_filter,20.0
n_layer,3.0
n_epoch,400.0
training_fold_1_neg_mean_squared_error,-0.3756960569247464
validation_fold_1_neg_mean_squared_error,-0.45345419360642275
training_fold_1_r2,0.7246591765026205
validation_fold_1_r2,0.6650877364752156
n_filter,20.0
n_layer,3.0
n_epoch,400.0
training_fold_2_neg_mean_squared_error,-0.3669211135543531
validation_fold_2_neg_mean_squared_error,-0.4585038482804736
training_fold_2_r2,0.7298244493063512
validation_fold_2_r2,0.667596493435924
n_filter,20.0
n_layer,3.0
n_epoch,400.0
training_fold_3_neg_mean_squared_error,-0.3479609837602854
validation_fold_3_neg_mean_squared_error,-0.43407201043076976
training_fold_3_r2,0.7436570111422862
validation_fold_3_r2,0.6859656476718632
n_filter,20.0
n_layer,3.0
n_epoch,400.0
training_fold_4_neg_mean_squared_error,-0.4341856553267377
validation_fold_4_neg_mean_squared_error,-0.4991994405801972
training_fold_4_r2,0.6823416819028514
validation_fold_4_r2,0.6287118735578776
n_filter,20.0
n_layer,3.0
n_epoch,400.0
cross_validation_pearson_corr,0.8137741417740282
test_set_pearson_corr,0.8427362418596592
