task,val
training_fold_0_neg_mean_squared_error,-0.10362709055883992
validation_fold_0_neg_mean_squared_error,-0.18946034768670222
training_fold_0_r2,0.7484373611650024
validation_fold_0_r2,0.5220122658870017
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_1_neg_mean_squared_error,-0.11813706934130597
validation_fold_1_neg_mean_squared_error,-0.185216739732324
training_fold_1_r2,0.7111068956060211
validation_fold_1_r2,0.5465091688702727
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_2_neg_mean_squared_error,-0.12098791447784374
validation_fold_2_neg_mean_squared_error,-0.19243561368660558
training_fold_2_r2,0.7008085810238505
validation_fold_2_r2,0.5488539649888083
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_3_neg_mean_squared_error,-0.11847715134304104
validation_fold_3_neg_mean_squared_error,-0.17483407056340416
training_fold_3_r2,0.7095062415966424
validation_fold_3_r2,0.5764217310033508
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_4_neg_mean_squared_error,-0.11534756405879074
validation_fold_4_neg_mean_squared_error,-0.16679607690745726
training_fold_4_r2,0.7193806694293365
validation_fold_4_r2,0.5829450147087001
n_filter,50.0
n_layer,3.0
n_epoch,200.0
cross_validation_pearson_corr,0.751462593321509
test_set_pearson_corr,0.8094788799533804
