task,val
training_fold_0_neg_mean_squared_error,-0.1881180764644233
validation_fold_0_neg_mean_squared_error,-0.24938337084039153
training_fold_0_r2,0.7954902735836564
validation_fold_0_r2,0.7207644172454546
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_1_neg_mean_squared_error,-0.1756118954504573
validation_fold_1_neg_mean_squared_error,-0.2724164420294273
training_fold_1_r2,0.807644996339784
validation_fold_1_r2,0.704127683419262
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_2_neg_mean_squared_error,-0.17991807476845545
validation_fold_2_neg_mean_squared_error,-0.24951857430601007
training_fold_2_r2,0.8027948988323199
validation_fold_2_r2,0.7296880890667548
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_3_neg_mean_squared_error,-0.17551049632833632
validation_fold_3_neg_mean_squared_error,-0.25730123064744814
training_fold_3_r2,0.8066874623887841
validation_fold_3_r2,0.7265277024471679
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_4_neg_mean_squared_error,-0.16601463857492307
validation_fold_4_neg_mean_squared_error,-0.25404419193595895
training_fold_4_r2,0.8194485240863469
validation_fold_4_r2,0.7160107862534605
n_filter,50.0
n_layer,3.0
n_epoch,200.0
cross_validation_pearson_corr,0.8494330018225569
test_set_pearson_corr,0.8754458267585099
