task,val
training_fold_0_neg_mean_squared_error,-0.08509695605876229
validation_fold_0_neg_mean_squared_error,-0.10136333646180633
training_fold_0_r2,0.6972062560596544
validation_fold_0_r2,0.6339195804991338
n_filter,20.0
n_layer,3.0
n_epoch,300.0
training_fold_1_neg_mean_squared_error,-0.08923526222228566
validation_fold_1_neg_mean_squared_error,-0.10440919536869919
training_fold_1_r2,0.6818780689985551
validation_fold_1_r2,0.6258179359743127
n_filter,20.0
n_layer,3.0
n_epoch,300.0
training_fold_2_neg_mean_squared_error,-0.10611885301805712
validation_fold_2_neg_mean_squared_error,-0.11859570400642944
training_fold_2_r2,0.6174068209741836
validation_fold_2_r2,0.5932570330819568
n_filter,20.0
n_layer,3.0
n_epoch,300.0
training_fold_3_neg_mean_squared_error,-0.08677229451212141
validation_fold_3_neg_mean_squared_error,-0.1088671621249661
training_fold_3_r2,0.6900475392806324
validation_fold_3_r2,0.6129080430791716
n_filter,20.0
n_layer,3.0
n_epoch,300.0
training_fold_4_neg_mean_squared_error,-0.0913543771782394
validation_fold_4_neg_mean_squared_error,-0.10581872390896976
training_fold_4_r2,0.6762671049716726
validation_fold_4_r2,0.611379511199058
n_filter,20.0
n_layer,3.0
n_epoch,300.0
cross_validation_pearson_corr,0.78516152461152
test_set_pearson_corr,0.8214823783785887
