task,val
training_fold_0_neg_mean_squared_error,-0.015036109886545253
validation_fold_0_neg_mean_squared_error,-0.01995787389204791
training_fold_0_r2,0.5442121286650556
validation_fold_0_r2,0.37204701906928683
n_filter,50.0
n_layer,3.0
n_epoch,300.0
training_fold_1_neg_mean_squared_error,-0.015152041877317026
validation_fold_1_neg_mean_squared_error,-0.02098676144897203
training_fold_1_r2,0.5316153647901207
validation_fold_1_r2,0.3886960433724068
n_filter,50.0
n_layer,3.0
n_epoch,300.0
training_fold_2_neg_mean_squared_error,-0.017563640760469554
validation_fold_2_neg_mean_squared_error,-0.021868368388644664
training_fold_2_r2,0.4620314350636693
validation_fold_2_r2,0.3402081356206954
n_filter,50.0
n_layer,3.0
n_epoch,300.0
training_fold_3_neg_mean_squared_error,-0.013585071397900507
validation_fold_3_neg_mean_squared_error,-0.01972399088655123
training_fold_3_r2,0.5854518351133287
validation_fold_3_r2,0.39597467137192455
n_filter,50.0
n_layer,3.0
n_epoch,300.0
training_fold_4_neg_mean_squared_error,-0.014648863483293275
validation_fold_4_neg_mean_squared_error,-0.019385202819223738
training_fold_4_r2,0.5558400708315887
validation_fold_4_r2,0.390692001298814
n_filter,50.0
n_layer,3.0
n_epoch,300.0
cross_validation_pearson_corr,0.6252532765899076
test_set_pearson_corr,0.6760293874512416
