task,val
training_fold_0_neg_mean_squared_error,-0.1021385331864762
validation_fold_0_neg_mean_squared_error,-0.1365883493848761
training_fold_0_r2,0.7662633827962844
validation_fold_0_r2,0.6839875222138083
n_filter,20.0
n_layer,3.0
n_epoch,500.0
training_fold_1_neg_mean_squared_error,-0.11200759607764367
validation_fold_1_neg_mean_squared_error,-0.13877443217493993
training_fold_1_r2,0.7435106900390632
validation_fold_1_r2,0.6798343896577353
n_filter,20.0
n_layer,3.0
n_epoch,500.0
training_fold_2_neg_mean_squared_error,-0.0998799905799118
validation_fold_2_neg_mean_squared_error,-0.1309892135124816
training_fold_2_r2,0.7676174355121231
validation_fold_2_r2,0.7157693523300921
n_filter,20.0
n_layer,3.0
n_epoch,500.0
training_fold_3_neg_mean_squared_error,-0.11118957544069703
validation_fold_3_neg_mean_squared_error,-0.13908112225179997
training_fold_3_r2,0.7456587606220912
validation_fold_3_r2,0.6777127889151286
n_filter,20.0
n_layer,3.0
n_epoch,500.0
training_fold_4_neg_mean_squared_error,-0.11037331526290281
validation_fold_4_neg_mean_squared_error,-0.13450753569940402
training_fold_4_r2,0.7489017596896915
validation_fold_4_r2,0.6812214432186489
n_filter,20.0
n_layer,3.0
n_epoch,500.0
cross_validation_pearson_corr,0.8301965986020501
test_set_pearson_corr,0.8508644275677111
