task,val
training_fold_0_neg_mean_squared_error,-0.1219171061296036
validation_fold_0_neg_mean_squared_error,-0.1420298336038043
training_fold_0_r2,0.8373633648355914
validation_fold_0_r2,0.803691590360061
n_filter,50.0
n_layer,3.0
n_epoch,100.0
training_fold_1_neg_mean_squared_error,-0.10658361279330911
validation_fold_1_neg_mean_squared_error,-0.1505310894901956
training_fold_1_r2,0.8562831156651243
validation_fold_1_r2,0.8007788320819471
n_filter,50.0
n_layer,3.0
n_epoch,100.0
training_fold_2_neg_mean_squared_error,-0.1250543777755403
validation_fold_2_neg_mean_squared_error,-0.17233441138387692
training_fold_2_r2,0.8299815991558426
validation_fold_2_r2,0.7789926221423312
n_filter,50.0
n_layer,3.0
n_epoch,100.0
training_fold_3_neg_mean_squared_error,-0.1210491836341032
validation_fold_3_neg_mean_squared_error,-0.1501025044011308
training_fold_3_r2,0.8368280216146454
validation_fold_3_r2,0.8010971336876093
n_filter,50.0
n_layer,3.0
n_epoch,100.0
training_fold_4_neg_mean_squared_error,-0.1042165181576454
validation_fold_4_neg_mean_squared_error,-0.13220106007917587
training_fold_4_r2,0.861678611698907
validation_fold_4_r2,0.8133453086684008
n_filter,50.0
n_layer,3.0
n_epoch,100.0
cross_validation_pearson_corr,0.8942737836841137
test_set_pearson_corr,0.9130882912073199
