task,val
training_fold_0_neg_mean_squared_error,-0.05418857145580598
validation_fold_0_neg_mean_squared_error,-0.07309517646245557
training_fold_0_r2,0.745207298426714
validation_fold_0_r2,0.6348048366086827
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_1_neg_mean_squared_error,-0.05345258772119985
validation_fold_1_neg_mean_squared_error,-0.0823452574567104
training_fold_1_r2,0.7457972039425792
validation_fold_1_r2,0.6074913829193367
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_2_neg_mean_squared_error,-0.042214542904821906
validation_fold_2_neg_mean_squared_error,-0.09191383056151449
training_fold_2_r2,0.7950833298561029
validation_fold_2_r2,0.5947600325745188
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_3_neg_mean_squared_error,-0.051822778751158094
validation_fold_3_neg_mean_squared_error,-0.07878741089297206
training_fold_3_r2,0.7530799251214896
validation_fold_3_r2,0.6272673181576367
n_filter,50.0
n_layer,3.0
n_epoch,200.0
training_fold_4_neg_mean_squared_error,-0.04802609816375412
validation_fold_4_neg_mean_squared_error,-0.08047014448236532
training_fold_4_r2,0.7735188866254622
validation_fold_4_r2,0.6029570351158724
n_filter,50.0
n_layer,3.0
n_epoch,200.0
cross_validation_pearson_corr,0.7860707024192487
test_set_pearson_corr,0.8155344502161378
