task,val
training_fold_0_neg_mean_squared_error,-0.36627026437627463
validation_fold_0_neg_mean_squared_error,-0.44644312195495767
training_fold_0_r2,0.7652480231220078
validation_fold_0_r2,0.7021026089821234
n_filter,20.0
n_layer,3.0
n_epoch,200.0
training_fold_1_neg_mean_squared_error,-0.3511510952685759
validation_fold_1_neg_mean_squared_error,-0.40122921732186234
training_fold_1_r2,0.7724865812935205
validation_fold_1_r2,0.7437690748408692
n_filter,20.0
n_layer,3.0
n_epoch,200.0
training_fold_2_neg_mean_squared_error,-0.36356995394002223
validation_fold_2_neg_mean_squared_error,-0.4407344468822601
training_fold_2_r2,0.7633241099738344
validation_fold_2_r2,0.7236724432713744
n_filter,20.0
n_layer,3.0
n_epoch,200.0
training_fold_3_neg_mean_squared_error,-0.33211916652308143
validation_fold_3_neg_mean_squared_error,-0.39583885281853703
training_fold_3_r2,0.7848939202757308
validation_fold_3_r2,0.7468467779073052
n_filter,20.0
n_layer,3.0
n_epoch,200.0
training_fold_4_neg_mean_squared_error,-0.3404667054873556
validation_fold_4_neg_mean_squared_error,-0.39168503920253306
training_fold_4_r2,0.7811648607080923
validation_fold_4_r2,0.7416824571550228
n_filter,20.0
n_layer,3.0
n_epoch,200.0
cross_validation_pearson_corr,0.8560056202151634
test_set_pearson_corr,0.8693265029613109
