task,val
training_fold_0_neg_mean_squared_error,-0.11493702736265607
validation_fold_0_neg_mean_squared_error,-0.13796282956968378
training_fold_0_r2,0.7346557425364533
validation_fold_0_r2,0.6724858374083044
n_filter,50.0
n_layer,3.0
n_epoch,100.0
training_fold_1_neg_mean_squared_error,-0.11319064486668783
validation_fold_1_neg_mean_squared_error,-0.13806930282954333
training_fold_1_r2,0.7375574885005134
validation_fold_1_r2,0.6779727480961942
n_filter,50.0
n_layer,3.0
n_epoch,100.0
training_fold_2_neg_mean_squared_error,-0.10157579516036096
validation_fold_2_neg_mean_squared_error,-0.13765874343654905
training_fold_2_r2,0.760294114256642
validation_fold_2_r2,0.6999961833251371
n_filter,50.0
n_layer,3.0
n_epoch,100.0
training_fold_3_neg_mean_squared_error,-0.12386010915148014
validation_fold_3_neg_mean_squared_error,-0.1443161804028759
training_fold_3_r2,0.7132351932116201
validation_fold_3_r2,0.6614207795034415
n_filter,50.0
n_layer,3.0
n_epoch,100.0
training_fold_4_neg_mean_squared_error,-0.09456613698937771
validation_fold_4_neg_mean_squared_error,-0.13722707517271476
training_fold_4_r2,0.7820039806939053
validation_fold_4_r2,0.6722737500802791
n_filter,50.0
n_layer,3.0
n_epoch,100.0
cross_validation_pearson_corr,0.8234228060715899
test_set_pearson_corr,0.8552559175515937
